entry_id,asset_id,source_field
entry_4de4e52f0c41f57e28e2,asset_7c0e38a8a433ebaaa3c6,PDF | Image Link
entry_4f4d2751e686865050ba,asset_da533c72f476d84f88f9,PDF | Image Link
entry_50a2e2279c4e92e0c591,asset_239d049dab8c81d50868,PDF | Image Link
entry_50b8fd4d590caf963ac2,asset_0a6e8d3efb5832a21978,DVIDS Video ID
entry_50b8fd4d590caf963ac2,asset_c1c59236394f7b144652,PDF | Image Link
entry_5168599f58ec0ad704c0,asset_a86f79c3de423c13befa,PDF | Image Link
entry_51b73d5a0a5cb1984542,asset_90a8c6493f04d6e31af1,PDF | Image Link
entry_521dc7ae2d7fcdf84f59,asset_2cd799fd0c70eda24dbc,PDF | Image Link
entry_56e64166a4c7d7602af1,asset_ce9a5971eec321e85d61,PDF | Image Link
entry_5720d3b0c9a171cd022c,asset_c97db00a65aa4abe775e,PDF | Image Link
entry_57e3724c4333599c652e,asset_e897e67f95bc1e1b5537,PDF | Image Link
entry_58594611794eaa0e8dd5,asset_4382ccbf2a39513d96ca,PDF | Image Link
entry_5961c06d8f2a8462f42a,asset_6d7faf71150107e94c22,PDF | Image Link
entry_5a9f9d6a1b103be8d3bb,asset_8e727ae36892cba907b9,PDF | Image Link
entry_5b20f85762b82eb6c219,asset_218e167fbd265d91fbc4,PDF | Image Link
entry_5b58214c21770d28fa7d,asset_57e9cc7f9942e2cf279f,PDF | Image Link
entry_5bec9719505f4a1b3221,asset_3b36f3dc3b51cf3bbabd,PDF | Image Link
entry_5c366c9f409feb825372,asset_338cd38e18cd12576f59,DVIDS Video ID
entry_5c366c9f409feb825372,asset_ea029a05470b8f4e9695,PDF | Image Link
entry_5d142ec912684ada6208,asset_67ab3ffef2aecf7080b4,PDF | Image Link
entry_5d89e84273e670449fa7,asset_8850ee21dde8d8c030d8,DVIDS Video ID
entry_5e65dc6afeb8fdc26372,asset_92b2d78bb19ee094ab85,PDF | Image Link
entry_5fb8b7d896b9b1c042a2,asset_ff30c985595153f3dc0c,PDF | Image Link
entry_60429881f03d7514c522,asset_64b4b5770a796616cdee,PDF | Image Link
entry_608354d6f1a7a88edfd6,asset_e418f6fe8d2a45952db3,PDF | Image Link
