pairing_id,source_entry_id,target_entry_id,source_field,raw_reference,resolution_rule
pair_78efb304be1bec80c513,entry_0d8fcb89c8fb00abccfa,entry_731c16f60d5be7cc25e7,PDF Pairing,FBI Photo B010,exact_normalized_label
pair_79bac20bd3aac8329a27,entry_3f3439a6ea8d61e81c1e,entry_6d0105d0e5e08b046043,Video Pairing,DOW-UAP-PR126,exact_normalized_label
pair_79cea001eca5d65fc211,entry_7b22c519690e76235757,entry_32f79bc1bc61cc547721,PDF Pairing,FBI-UAP-D002,exact_normalized_label
pair_7a17c157465c4bc23cc8,entry_0c2f003ad8b1da78404c,entry_b50b28200c7906bc24d8,PDF Pairing,FBI Photo A003,exact_normalized_label
pair_7b3edca6e3277b2d5d53,entry_0c2f003ad8b1da78404c,entry_66872a1dc8877b5ebdf0,PDF Pairing,FBI Photo B013,exact_normalized_label
pair_7bed81bac79dceac8f78,entry_0c2f003ad8b1da78404c,entry_c477c6dd70c5f5b95c48,PDF Pairing,FBI Photo B008,exact_normalized_label
pair_7c47ad8c86fab7ae5f34,entry_1b7c81e3a451f3580f29,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_7cae6348eb5734b61f60,entry_6d0105d0e5e08b046043,entry_b9e6e8e4626675dd3874,Video Pairing,DOW-UAP-PR124,exact_normalized_label
pair_7d05e5047c7d0aab6633,entry_b9e6e8e4626675dd3874,entry_6d0105d0e5e08b046043,Video Pairing,DOW-UAP-PR126,exact_normalized_label
pair_7e271cb07bdb7064073b,entry_29f20182fde37f674392,entry_25f0a77c853be9248d79,Video Pairing,PR-026,unique_portal_pr_shorthand
pair_7f3f2683e2f6cf5c8964,entry_ed950eea4fe4b57464b3,entry_fb1c683a5adb0cb2109e,PDF Pairing,DOW-UAP-D080,exact_normalized_label
pair_7ff3a53a6831758a2c68,entry_f6058963dd5730e81f85,entry_fc345ab75eb77a55e896,Video Pairing,PR-033,unique_portal_pr_shorthand
pair_80c9621df2e455f113a7,entry_3f3439a6ea8d61e81c1e,entry_003dca02286e780af10f,Video Pairing,DOW-UAP-PR123,exact_normalized_label
pair_80cb523ae5381853e340,entry_3f3439a6ea8d61e81c1e,entry_b9e6e8e4626675dd3874,Video Pairing,DOW-UAP-PR124,exact_normalized_label
pair_81722ed19a6768205778,entry_e6c87ccd52edc1829e29,entry_238747a8e9ea8244ed7d,PDF Pairing,DoW-UAP-D014,exact_normalized_label
pair_82a769d99672e8fc1888,entry_5720d3b0c9a171cd022c,entry_b7720fdd1edd0cdc6a6c,PDF Pairing,FBI-UAP-D041,exact_normalized_label
pair_82bae41a0f8e808a16a8,entry_0c2f003ad8b1da78404c,entry_a776ccce4a77820bf77a,PDF Pairing,FBI Photo B003,exact_normalized_label
pair_84b86172f4e9a33558f0,entry_350c329b0aeb535daccd,entry_0d8fcb89c8fb00abccfa,PDF Pairing,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",exact_normalized_label
pair_850b3058081bc268ccf7,entry_66872a1dc8877b5ebdf0,entry_0c2f003ad8b1da78404c,PDF Pairing,USPER Statement about UAP Sighting,exact_normalized_label
pair_852c98c353d99d33bdbf,entry_5720d3b0c9a171cd022c,entry_9920d27a349af18b1398,PDF Pairing,FBI-UAP-D042,exact_normalized_label
pair_864446d90852e2396a74,entry_fb1c683a5adb0cb2109e,entry_c167f46c1e3ad3bd4499,PDF Pairing,FBI-UAP-D023,exact_normalized_label
pair_8754237a963f2420f5fd,entry_b9e6e8e4626675dd3874,entry_003dca02286e780af10f,Video Pairing,DOW-UAP-PR123,exact_normalized_label
